UUID	Accession ID	Project path	Accession symlink	Spreadsheet	Geo files count	Matrices count	Zipped matrix	Cell count	Metadata JSON count
86963b4f-1e8e-5691-9ba3-465f3a789428	GSE130473			spreadsheets/new/GSE130473.0.xlsx	0	0		0	0
7eedae3a-b350-5a3a-ab2d-8dcebc4a37b2	GSE132802			spreadsheets/new/GSE132802.0.xlsx	0	0		0	0
458cbaeb-c4b7-5537-b1f3-a5d537478112	GSE118127			spreadsheets/new/GSE118127.0.xlsx	0	0		0	0
ef6f570f-a991-5528-9649-fbf06e6eb896	GSE114396			spreadsheets/new/GSE114396.0.xlsx	0	0		0	0
9fc2d285-804a-5989-956f-1843a0f11673	GSE103354			spreadsheets/new/GSE103354.0.xlsx	0	0		0	0
2b4c411d-35b1-5f97-9d6a-c9331c7f679a	GSE36552			spreadsheets/new/GSE36552.0.xlsx	0	0		0	0
06917f50-92aa-5e58-8376-aae1d888e8b7	GSE114557			spreadsheets/new/GSE114557.0.xlsx	0	0		0	0
932ae148-c3c2-5b07-91c0-2083cafe0dc1	GSE76312			spreadsheets/new/GSE76312.0.xlsx	0	0		0	0
73fd591e-2310-5983-ba8a-8079c0d0b758	GSE130606			spreadsheets/new/GSE130606.0.xlsx	0	0		0	0
62437ea1-3d06-5f22-b9de-a7d934138dd5	GSE127969			spreadsheets/new/GSE127969.0.xlsx	0	0		0	0
53fe8e51-1646-5f68-96ac-e4d4fde67b93	GSE116470			spreadsheets/new/GSE116470.0.xlsx	0	0		0	0
cac7f9f2-0592-5617-9530-f63803c49f8b	GSE75659			spreadsheets/new/GSE75659.0.xlsx	0	0		0	0
2cdd0744-6422-57fd-8fdd-9ac2bb8bf257	GSE132044			spreadsheets/new/GSE132044.0.xlsx	0	0		0	0
88564eae-cceb-5eee-957d-5f0a251fb177	GSE96583			spreadsheets/new/GSE96583.0.xlsx	0	0		0	0
069198f7-c2b5-5d39-988c-1cb12db4f28a	GSE131736			spreadsheets/new/GSE131736.0.xlsx	0	0		0	0
1a72144b-f4e8-5fd5-b46e-6a40eee8b6e6	GSE126836			spreadsheets/new/GSE126836.0.xlsx	0	0		0	0
f10b6bef-febb-58dd-83ee-1180d076e53f	GSE108291			spreadsheets/new/GSE108291.0.xlsx	0	0		0	0
0f4d7e06-5f77-5614-8cd6-123f555dc9b1	GSE86469			spreadsheets/new/GSE86469.0.xlsx	0	0		0	0
1a85f2da-5aaa-5bc2-a6ea-9584742118e6	GSE97104			spreadsheets/new/GSE97104.0.xlsx	0	0		0	0
6fb6d88c-7023-53fb-967b-ef95b2f6f5a0	GSE70580			spreadsheets/new/GSE70580.0.xlsx	0	0		0	0
d9258dc7-985e-533a-9fc2-3ad9cc7e32ca	GSE108041			spreadsheets/new/GSE108041.0.xlsx	0	0		0	0
31d48835-7d9f-52ae-8cdc-ae227b63dd2c	GSE116237			spreadsheets/new/GSE116237.0.xlsx	0	0		0	0
b5a0936b-a351-54ac-8d7d-0af6926e0bdc	GSE86146			spreadsheets/new/GSE86146.0.xlsx	0	0		0	0
9d65c4d0-c048-5c4f-8278-85dac99ea2ae	GSE92280			spreadsheets/new/GSE92280.0.xlsx	0	0		0	0
099c02da-23b2-5748-8618-92bc6770dc51	GSE106273			spreadsheets/new/GSE106273.0.xlsx	0	0		0	0
c2e2302f-4077-5394-9ee2-78a0ec94cbb7	GSE132040			spreadsheets/new/GSE132040.0.xlsx	0	0		0	0
227f5c51-389c-576c-b4d3-e4da53b89f79	GSE110499			spreadsheets/new/GSE110499.0.xlsx	0	0		0	0
36a7d62a-57ae-59af-ae8d-7dd2a8f1422e	GSE114802			spreadsheets/new/GSE114802.0.xlsx	0	0		0	0
51a21599-a014-5c5a-9760-d5bdeb80f741	GSE81904			spreadsheets/new/GSE81904.0.xlsx	0	0		0	0
d36952f4-cfa7-5d03-b4b6-db2c31dd41c6	GSE107746			spreadsheets/new/GSE107746.0.xlsx	0	0		0	0
2ff83170-ec52-5b24-9962-161c558f52ba	GSE130636			spreadsheets/new/GSE130636.0.xlsx	0	0		0	0
ba75d697-8712-5e75-b35b-fd3f2b66cae5	GSE99795			spreadsheets/new/GSE99795.0.xlsx	0	0		0	0
789850ec-3540-5023-9767-fb8a4d2a21fc	GSE75688			spreadsheets/new/GSE75688.0.xlsx	0	0		0	0
aa372dea-8469-5b80-9007-18c16a21655d	GSE44183			spreadsheets/new/GSE44183.0.xlsx	0	0		0	0
